song,rank,artist,last_week,peak_position,weeks_on_chart,saturday
Illusion,75,Dua Lipa,78,43,7,2024-06-08
Get In With Me,76,BossMan DLow,75,49,17,2024-06-08
Florida!!!,77,Taylor Swift Featuring Florence + The Machine,64,8,6,2024-06-08
Wind Up Missin' You,78,Tucker Wetmore,93,75,9,2024-06-08
The Smallest Man Who Ever Lived,79,Taylor Swift,65,14,6,2024-06-08
The Tortured Poets Department,80,Taylor Swift,66,4,6,2024-06-08
Hell N Back,81,Bakar Featuring Summer Walker,86,53,8,2024-06-08
Belong Together,82,Mark Ambor,90,82,5,2024-06-08
The Craving,83,Twenty One Pilots,-,83,1,2024-06-08
After Hours,84,Kehlani,-,84,1,2024-06-08
Take Her Home,85,Kenny Chesney,92,85,3,2024-06-08
Back Then Right Now,86,Tyler Hubbard,77,62,11,2024-06-08
Wondering Why,87,The Red Clay Strays,99,71,11,2024-06-08
Tucson Too Late,88,Jordan Davis,87,71,13,2024-06-08
Bandit,89,Don Toliver,89,38,16,2024-06-08
Wine Into Whiskey,90,Tucker Wetmore,97,77,10,2024-06-08
Push Ups,91,Drake,74,17,6,2024-06-08
loml,92,Taylor Swift,81,12,6,2024-06-08
Meet The Grahams,93,Kendrick Lamar,67,12,4,2024-06-08
Outskirts,94,Sam Hunt,96,66,12,2024-06-08
Your Place,95,Ashley Cooke,-,95,1,2024-06-08
Attitude,96,Don Toliver Featuring Charlie Wilson & Cash Cobain,-,96,1,2024-06-08
Heat Stick,97,Shoreline Mafia Presents OhGeesy & Fenix Flexin,98,97,2,2024-06-08
The Alchemy,98,Taylor Swift,82,13,6,2024-06-08
On One Tonight,99,Gunna,71,54,3,2024-06-08
Tu Name,100,Fuerza Regida,-,66,13,2024-06-08
